PWSID,PRIMARY_SOURCE_CODE,OWNER_TYPE_CODE,SERVICE_CONNECTIONS_COUNT,COUNTIES_SERVED,all_violations,health_violations,primary_source,owner_type
NJ1432001,GW,L,10,Morris,30.0,0.0,Ground water,Local Government
NJ1435002,GW,L,4350,Morris,5.0,0.0,Ground water,Local Government
NJ1503001,GW,L,2253,Ocean,1.0,1.0,Ground water,Local Government
NJ1522001,GW,L,933,Ocean,1.0,0.0,Ground water,Local Government
NJ1005001,GW,L,4600,Hunterdon,4.0,0.0,Ground water,Local Government
NJ1712001,GW,L,2309,Salem,9.0,0.0,Ground water,Local Government
NJ1713001,GW,P,46,Salem,0.0,0.0,Ground water,Private
NJ1511016,GW,P,30,Ocean,1.0,0.0,Ground water,Private
NJ0506015,GW,P,101,Cape May,0.0,0.0,Ground water,Private
NJ1509001,GW,L,1178,Ocean,0.0,0.0,Ground water,Local Government
NJ1526001,GW,L,1681,Ocean,1.0,0.0,Ground water,Local Government
NJ1019003,GW,P,37,Hunterdon,0.0,0.0,Ground water,Private
NJ1815300,GW,P,8,Somerset,1.0,0.0,Ground water,Private
NJ1518003,GW,P,826,Ocean,0.0,0.0,Ground water,Private
NJ1340001,SWP,L,4078,Monmouth,20.0,1.0,Surface water purchased,Local Government
NJ1912300,GW,P,3,Sussex,1.0,0.0,Ground water,Private
NJ1511005,GW,P,258,Ocean,0.0,0.0,Ground water,Private
NJ1921001,SW,L,770,Sussex,11.0,6.0,Surface water,Local Government
NJ0333001,GW,P,2444,Burlington,2.0,0.0,Ground water,Private
NJ0322001,SWP,L,7298,Burlington,20.0,0.0,Surface water purchased,Local Government
NJ0221001,SWP,L,6471,Bergen,1.0,1.0,Surface water purchased,Local Government
NJ0501001,GW,L,5401,Cape May,0.0,0.0,Ground water,Local Government
NJ0340002,GW,P,40,Burlington,1.0,0.0,Ground water,Private
NJ0326013,GW,P,40,Burlington,0.0,0.0,Ground water,Private
NJ0610001,GW,L,7632,Cumberland,14.0,0.0,Ground water,Local Government
NJ0410002,GW,P,1,Camden,0.0,0.0,Ground water,Private
NJ0414001,GW,L,4115,Camden,17.0,0.0,Ground water,Local Government
NJ0436001,SWP,S,50,Camden,1.0,0.0,Surface water purchased,State Government
NJ1525001,SWP,L,2950,Ocean,0.0,0.0,Surface water purchased,Local Government
NJ1302001,GW,L,662,Monmouth,0.0,0.0,Ground water,Local Government
NJ0108005,GW,P,89,Atlantic,0.0,0.0,Ground water,Private
NJ0108303,GW,P,57,Atlantic,1.0,0.0,Ground water,Private
NJ1902009,GW,P,1,Sussex,0.0,0.0,Ground water,Private
NJ0610002,GW,P,90,Cumberland,0.0,0.0,Ground water,Private
NJ1520001,GW,L,5507,Ocean,2.0,0.0,Ground water,Local Government
NJ1517006,GWP,L,318,Ocean,2.0,0.0,Groundwater purchased,Local Government
NJ1517002,GW,L,682,Ocean,1.0,0.0,Ground water,Local Government
NJ1517004,GWP,L,426,Ocean,1.0,0.0,Groundwater purchased,Local Government
NJ1517005,GWP,L,400,Ocean,0.0,0.0,Groundwater purchased,Local Government
NJ1517001,GW,L,5821,Ocean,0.0,0.0,Ground water,Local Government
NJ1330002,SWP,L,2461,Monmouth,13.0,3.0,Surface water purchased,Local Government
NJ1330003,SWP,L,427,Monmouth,8.0,1.0,Surface water purchased,Local Government
NJ1924006,GW,P,16,Sussex,0.0,0.0,Ground water,Private
NJ0307002,GW,S,2,Burlington,5.0,0.0,Ground water,State Government
NJ0704001,SWP,L,4082,Essex,1.0,0.0,Surface water purchased,Local Government
NJ1314001,GW,L,400,Monmouth,0.0,0.0,Ground water,Local Government
NJ1214001,SW,L,8500,Middlesex,3.0,0.0,Surface water,Local Government
NJ1434001,GW,L,2975,Morris,2.0,1.0,Ground water,Local Government
NJ0815001,SWP,L,3542,Gloucester,2.0,0.0,Surface water purchased,Local Government
NJ1523003,GW,P,459,Ocean,0.0,0.0,Ground water,Private
NJ1523002,GW,P,244,Ocean,1.0,0.0,Ground water,Private
NJ1309415,GW,P,1,Monmouth,2.0,2.0,Ground water,Private
NJ0706002,SWP,L,1,Essex,0.0,0.0,Surface water purchased,Local Government
NJ0706001,SWP,L,758,Essex,0.0,0.0,Surface water purchased,Local Government
NJ0707001,SWP,L,2025,Essex,0.0,0.0,Surface water purchased,Local Government
NJ0242001,GW,L,4800,Bergen,0.0,0.0,Ground water,Local Government
NJ1223001,SWP,L,4245,Middlesex,2.0,0.0,Surface water purchased,Local Government
PA6430001,GW,P,23,Mercer,35.0,0.0,Ground water,Private
NJ1905002,GW,P,15,Sussex,1.0,0.0,Ground water,Private
NJ1204001,SWP,L,15400,Middlesex,3.0,0.0,Surface water purchased,Local Government
NJ2113002,GW,P,36,Warren,1.0,1.0,Ground water,Private
NJ1902005,GW,P,48,Sussex,2.0,0.0,Ground water,Private
NJ1521001,GW,L,1141,Ocean,0.0,0.0,Ground water,Local Government
NJ1111001,SW,L,62337,Mercer,2.0,1.0,Surface water,Local Government
NJ1341001,GW,L,302,Monmouth,5.0,0.0,Ground water,Local Government
NJ1511007,GW,P,55,Ocean,0.0,0.0,Ground water,Private
NJ0803001,SWP,L,3650,Gloucester,1.0,1.0,Surface water purchased,Local Government
NJ1708001,GW,L,4813,Salem,65.0,1.0,Ground water,Local Government
NJ1904001,GW,P,410,Sussex,1.0,0.0,Ground water,Private
