,PWID,urban_rural
0,NJ0314001,urban
1,NJ0320002,urban
2,NJ0301001,rural
3,NJ0307002,urban
4,NJ0325001,rural
5,NJ0326005,urban
6,NJ0326006,urban
7,NJ0326007,urban
8,NJ0326012,rural
9,NJ0326013,urban
10,NJ0326014,urban
11,NJ0329008,urban
12,NJ0332001,rural
13,NJ0340002,urban
14,NJ0429001,urban
15,NJ0504306,urban
16,NJ0604001,rural
17,NJ0607001,urban
18,NJ0609001,rural
19,NJ0614002,urban
20,NJ0805002,urban
21,NJ0805003,urban
22,NJ1019002,rural
23,NJ1106002,rural
24,NJ1225001,urban
25,NJ1319003,urban
26,NJ1326321,urban
27,NJ1328003,urban
28,NJ1406002,urban
29,NJ1413001,urban
30,NJ1414006,urban
31,NJ1421305,urban
32,NJ1435003,rural
33,NJ1505003,rural
34,NJ1511004,urban
35,NJ1511007,rural
36,NJ1511010,urban
37,NJ1511011,rural
38,NJ1511016,urban
39,NJ1518003,urban
40,NJ1531001,urban
41,NJ1615017,rural
42,NJ1615022,urban
43,NJ1706001,rural
44,NJ1710006,rural
45,NJ1713001,rural
46,NJ1714001,urban
47,NJ1714300,urban
48,NJ1902004,urban
49,NJ1904006,rural
50,NJ1904007,rural
51,NJ1905002,rural
52,NJ1920001,urban
53,NJ1922027,urban
54,NJ1924003,rural
55,NJ2116004,rural
56,NJ2123002,rural
57,NJ0612001,rural
58,NJ0242001,urban
59,NJ0247001,urban
60,NJ0248001,urban
61,NJ0251001,urban
62,NJ0257001,urban
63,NJ0258001,urban
64,NJ0264001,urban
65,NJ0265001,urban
66,NJ0303001,urban
67,NJ0305001,urban
68,NJ0306001,urban
69,NJ0311001,urban
70,NJ0311002,urban
71,NJ0313001,urban
72,NJ0315001,urban
73,NJ0318002,urban
74,NJ0319001,urban
75,NJ0221001,urban
76,NJ0228001,urban
77,NJ0231001,urban
78,NJ0232001,urban
79,NJ0233001,urban
80,NJ0233005,urban
81,NJ0238001,urban
82,NJ0239001,urban
83,NJ0811002,rural
84,NJ0812001,urban
85,NJ0813001,urban
86,NJ0814001,urban
87,NJ0815001,urban
88,NJ0816001,rural
89,NJ0817001,urban
90,NJ0818004,urban
91,NJ0819001,urban
92,NJ0820001,urban
93,NJ0821001,urban
94,NJ0822001,urban
95,NJ0823001,urban
96,NJ0824001,rural
97,NJ0901001,urban
98,NJ0902001,urban
99,NJ0904001,urban
100,NJ0905001,urban
101,NJ0906001,urban
102,NJ0907001,urban
103,NJ1001301,rural
104,NJ1004001,rural
105,NJ1005001,urban
106,NJ1006302,rural
107,NJ1007001,rural
108,NJ1007002,rural
109,NJ1009001,urban
110,NJ1011001,urban
111,NJ1012001,urban
