GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
0500000US34001,34001,"Atlantic County, New Jersey",126647,112952,107877,5075,13695,0
0500000US34003,34003,"Bergen County, New Jersey",352388,352067,352067,0,321,0
0500000US34005,34005,"Burlington County, New Jersey",175615(r22678),164536,152961,11575,11079,0
0500000US34007,34007,"Camden County, New Jersey",204943(r22684),201571,201551,20,3372,0
0500000US34009,34009,"Cape May County, New Jersey",98309,89379,89379,0,8930,0
0500000US34011,34011,"Cumberland County, New Jersey",55834,43507,31333,12174,12327,0
0500000US34013,34013,"Essex County, New Jersey",312954,312899,312899,0,55,0
0500000US34015,34015,"Gloucester County, New Jersey",109796,100646,100646,0,9150,0
0500000US34017,34017,"Hudson County, New Jersey",270335(r22800),270335,270335,0,0,0
0500000US34019,34019,"Hunterdon County, New Jersey",49487,25662,22984,2678,23825,0
0500000US34021,34021,"Mercer County, New Jersey",143169,138381,138381,0,4788,0
0500000US34023,34023,"Middlesex County, New Jersey",294800,292803,292803,0,1997,0
0500000US34025,34025,"Monmouth County, New Jersey",258410,249870,249818,52,8540,0
0500000US34027,34027,"Morris County, New Jersey",189842,177920,173939,3981,11922,0
0500000US34029,34029,"Ocean County, New Jersey",278052,270979,257208,13771,7073,0
0500000US34031,34031,"Passaic County, New Jersey",175966,171428,169329,2099,4538,0
0500000US34033,34033,"Salem County, New Jersey",27417,15923,11083,4840,11494,0
0500000US34035,34035,"Somerset County, New Jersey",123127,115979,115979,0,7148,0
0500000US34037,34037,"Sussex County, New Jersey",62057,37807,14659,23148,24250,0
0500000US34039,34039,"Union County, New Jersey",199489,199489,199489,0,0,0
0500000US34041,34041,"Warren County, New Jersey",44925,28973,22226,6747,15952,0
