,PWSID,Health_Violations
0,NJ0102301,1
1,NJ0104322,1
2,NJ0105301,1
3,NJ0105304,2
4,NJ0105323,1
5,NJ0105333,9
6,NJ0105334,2
7,NJ0105350,3
8,NJ0105356,1
9,NJ0108418,1
10,NJ0109307,1
11,NJ0111374,1
12,NJ0112325,1
13,NJ0112343,1
14,NJ0112352,1
15,NJ0113001,4
16,NJ0113324,1
17,NJ0117331,1
18,NJ0122001,1
19,NJ0202300,1
20,NJ0205300,4
21,NJ0211001,1
22,NJ0217001,2
23,NJ0220308,1
24,NJ0221001,1
25,NJ0228001,1
26,NJ0231001,1
27,NJ0239001,1
28,NJ0247001,1
29,NJ0257001,2
30,NJ0301300,1
31,NJ0304306,1
32,NJ0305001,4
33,NJ0311302,1
34,NJ0315301,1
35,NJ0318316,1
36,NJ0320323,3
37,NJ0320335,1
38,NJ0320347,1
39,NJ0325001,1
40,NJ0325320,1
41,NJ0326001,2
42,NJ0326003,2
43,NJ0326005,1
44,NJ0326009,1
45,NJ0333003,3
46,NJ0333325,1
47,NJ0335312,2
48,NJ0335320,1
49,NJ0335324,1
50,NJ0410310,1
51,NJ0415314,1
52,NJ0435322,1
53,NJ0436356,1
54,NJ0436359,1
55,NJ0436391,1
56,NJ0504337,1
57,NJ0504375,1
58,NJ0506406,2
59,NJ0511401,2
60,NJ0602307,1
61,NJ0602315,1
62,NJ0603322,2
63,NJ0603324,1
64,NJ0603330,1
65,NJ0603331,1
66,NJ0604301,2
67,NJ0605002,1
68,NJ0605317,1
69,NJ0606304,1
70,NJ0607309,1
71,NJ0607310,1
72,NJ0607311,2
73,NJ0607324,5
74,NJ0607328,1
75,NJ0609001,1
76,NJ0609311,1
77,NJ0609319,1
78,NJ0610314,2
79,NJ0611302,1
80,NJ0612001,1
81,NJ0612303,2
82,NJ0613312,1
83,NJ0613320,2
84,NJ0613330,1
85,NJ0614003,2
86,NJ0614005,2
87,NJ0702001,4
88,NJ0702300,1
89,NJ0714001,2
90,NJ0722304,1
91,NJ0803001,1
92,NJ0804310,1
93,NJ0804317,1
94,NJ0804326,1
95,NJ0805003,1
96,NJ0805329,1
97,NJ0805348,1
98,NJ0805367,1
99,NJ0805440,1
100,NJ0805453,2
101,NJ0805456,2
102,NJ0808316,1
103,NJ0808321,1
104,NJ0810005,2
105,NJ0811316,2
106,NJ0811411,2
107,NJ0814001,1
108,NJ0816300,1
109,NJ0816303,1
110,NJ0816304,1
111,NJ0816306,1
112,NJ0818430,1
113,NJ0818442,1
114,NJ0818444,2
115,NJ0818449,1
116,NJ0818450,1
117,NJ0818459,1
118,NJ0818470,1
119,NJ0820303,1
120,NJ0824001,1
121,NJ0824300,1
122,NJ0824311,1
123,NJ1001302,1
124,NJ1001303,1
125,NJ1001309,1
126,NJ1002308,1
127,NJ1002313,1
128,NJ1006315,1
129,NJ1006319,1
130,NJ1006321,2
131,NJ1006323,1
132,NJ1006329,1
133,NJ1006338,1
134,NJ1006349,2
135,NJ1006367,1
136,NJ1006370,3
137,NJ1006375,1
138,NJ1007308,2
139,NJ1008309,2
140,NJ1008315,1
141,NJ1008321,2
