PWSID,all_violations,health_violations
CT0320044,1,0
CT0347031,1,0
FL3424829,1,0
FL6295268,12,0
GA2310025,1,0
LA1019085,1,0
ME0000802,2,0
ME0094466,2,0
NJ0102001,6,0
NJ0102301,2,1
NJ0102302,1,0
NJ0103001,16,0
NJ0104322,1,1
NJ0105002,1,0
NJ0105301,1,1
NJ0105304,3,2
NJ0105323,19,1
NJ0105324,1,0
NJ0105331,14,0
NJ0105332,1,0
NJ0105333,9,9
NJ0105334,4,2
NJ0105336,1,0
NJ0105348,4,0
NJ0105350,4,3
NJ0105356,1,1
NJ0106302,1,0
NJ0106304,1,0
NJ0108006,4,0
NJ0108013,3,0
NJ0108014,1,0
NJ0108303,1,0
NJ0108313,2,0
NJ0108314,3,0
NJ0108352,6,0
NJ0108361,1,0
NJ0108407,1,0
NJ0108417,1,0
NJ0108418,1,1
NJ0109305,1,0
NJ0109307,1,1
NJ0110301,2,0
NJ0110303,1,0
NJ0110313,2,0
NJ0110316,1,0
NJ0111004,1,0
NJ0111304,2,0
NJ0111313,1,0
NJ0111314,2,0
NJ0111321,3,0
NJ0111323,1,0
NJ0111324,1,0
NJ0111374,1,1
NJ0111405,18,0
NJ0111423,1,0
NJ0111441,1,0
NJ0111444,2,0
NJ0111456,6,0
NJ0112002,2,0
NJ0112324,5,0
NJ0112325,2,1
NJ0112329,1,0
NJ0112339,1,0
NJ0112343,1,1
NJ0112348,6,0
NJ0112352,2,1
NJ0112354,1,0
NJ0113001,23,4
NJ0113321,1,0
NJ0113324,2,1
NJ0113330,13,0
NJ0113353,1,0
NJ0113354,6,0
NJ0116001,19,0
NJ0117001,2,0
NJ0117317,3,0
NJ0117329,2,0
NJ0117331,1,1
NJ0120306,2,0
NJ0120307,2,0
NJ0120311,2,0
NJ0120314,1,0
NJ0120317,2,0
NJ0122001,1,1
NJ0123002,3,0
NJ0202300,1,1
NJ0204300,2,0
NJ0205300,4,4
NJ0211001,2,1
NJ0217001,33,2
NJ0220001,1,0
NJ0220308,1,1
NJ0221001,1,1
NJ0221300,1,0
NJ0226300,2,0
NJ0228001,4,1
NJ0231001,1,1
NJ0232001,4,0
NJ0233001,2,0
NJ0233005,2,0
NJ0233306,1,0
NJ0233310,2,0
NJ0233314,3,0
NJ0238001,24,0
NJ0238300,1,0
NJ0239001,1,1
NJ0247001,1,1
NJ0248001,1,0
NJ0248302,42,0
NJ0251001,5,0
NJ0255306,14,0
NJ0257001,2,2
NJ0264001,18,0
NJ0301001,1,0
NJ0301300,1,1
NJ0301311,1,0
NJ0301326,1,0
NJ0303001,36,0
NJ0304306,1,1
NJ0305001,4,4
NJ0306306,1,0
NJ0307002,5,0
NJ0311002,1,0
NJ0311302,1,1
NJ0313001,8,0
NJ0313312,1,0
NJ0314001,1,0
NJ0315001,3,0
NJ0315301,1,1
NJ0317303,1,0
NJ0317306,38,0
NJ0318002,1,0
NJ0318303,48,0
NJ0318304,1,0
NJ0318306,2,0
NJ0318310,29,0
NJ0318312,25,0
NJ0318314,30,0
NJ0318315,27,0
NJ0318316,1,1
NJ0319001,9,0
NJ0320001,36,0
NJ0320310,1,0
NJ0320319,1,0
NJ0320320,1,0
NJ0320323,3,3
NJ0320331,1,0
NJ0320335,1,1
NJ0320347,1,1
NJ0320358,1,0
NJ0320361,1,0
NJ0320367,1,0
NJ0321310,1,0
NJ0322001,20,0
NJ0324300,11,0
NJ0325001,1,1
NJ0325302,2,0
NJ0325320,1,1
NJ0325322,1,0
NJ0326001,2,2
NJ0326003,3,2
NJ0326005,1,1
NJ0326006,1,0
NJ0326009,1,1
NJ0326313,2,0
NJ0326326,1,0
NJ0328001,3,0
NJ0329003,1,0
NJ0329004,15,0
NJ0329005,1,0
NJ0329301,2,0
NJ0329303,5,0
NJ0329316,2,0
NJ0329325,1,0
NJ0329327,3,0
NJ0329332,20,0
NJ0332001,2,0
NJ0332002,27,0
NJ0332321,10,0
NJ0333001,2,0
NJ0333002,1,0
NJ0333003,5,3
NJ0333317,1,0
NJ0333325,3,1
NJ0333329,2,0
NJ0334316,1,0
NJ0334317,1,0
NJ0335302,2,0
NJ0335304,1,0
NJ0335310,19,0
NJ0335311,7,0
NJ0335312,2,2
NJ0335320,1,1
NJ0335322,1,0
NJ0335324,2,1
NJ0335327,1,0
NJ0335329,1,0
NJ0335330,1,0
NJ0338001,2,0
NJ0338300,2,0
NJ0339001,2,0
NJ0339301,1,0
NJ0339303,1,0
NJ0339315,1,0
NJ0339320,3,0
NJ0340001,1,0
NJ0340002,1,0
NJ0404001,1,0
