,PWSID,All_Violations
0,CT0320044,1
1,CT0347031,1
2,FL3424829,1
3,FL6295268,12
4,GA2310025,1
5,LA1019085,1
6,ME0000802,2
7,ME0094466,2
8,NJ0102001,6
9,NJ0102301,2
10,NJ0102302,1
11,NJ0103001,16
12,NJ0104322,1
13,NJ0105002,1
14,NJ0105301,1
15,NJ0105304,3
16,NJ0105323,19
17,NJ0105324,1
18,NJ0105331,14
19,NJ0105332,1
20,NJ0105333,9
21,NJ0105334,4
22,NJ0105336,1
23,NJ0105348,4
24,NJ0105350,4
25,NJ0105356,1
26,NJ0106302,1
27,NJ0106304,1
28,NJ0108006,4
29,NJ0108013,3
30,NJ0108014,1
31,NJ0108303,1
32,NJ0108313,2
33,NJ0108314,3
34,NJ0108352,6
35,NJ0108361,1
36,NJ0108407,1
37,NJ0108417,1
38,NJ0108418,1
39,NJ0109305,1
40,NJ0109307,1
41,NJ0110301,2
42,NJ0110303,1
43,NJ0110313,2
44,NJ0110316,1
45,NJ0111004,1
46,NJ0111304,2
47,NJ0111313,1
48,NJ0111314,2
49,NJ0111321,3
50,NJ0111323,1
51,NJ0111324,1
52,NJ0111374,1
53,NJ0111405,18
54,NJ0111423,1
55,NJ0111441,1
56,NJ0111444,2
57,NJ0111456,6
58,NJ0112002,2
59,NJ0112324,5
60,NJ0112325,2
61,NJ0112329,1
62,NJ0112339,1
63,NJ0112343,1
64,NJ0112348,6
65,NJ0112352,2
66,NJ0112354,1
67,NJ0113001,23
68,NJ0113321,1
69,NJ0113324,2
70,NJ0113330,13
71,NJ0113353,1
72,NJ0113354,6
73,NJ0116001,19
74,NJ0117001,2
75,NJ0117317,3
76,NJ0117329,2
77,NJ0117331,1
78,NJ0120306,2
79,NJ0120307,2
80,NJ0120311,2
81,NJ0120314,1
82,NJ0120317,2
83,NJ0122001,1
84,NJ0123002,3
85,NJ0202300,1
86,NJ0204300,2
87,NJ0205300,4
88,NJ0211001,2
89,NJ0217001,33
90,NJ0220001,1
91,NJ0220308,1
92,NJ0221001,1
93,NJ0221300,1
94,NJ0226300,2
95,NJ0228001,4
96,NJ0231001,1
97,NJ0232001,4
98,NJ0233001,2
99,NJ0233005,2
100,NJ0233306,1
101,NJ0233310,2
102,NJ0233314,3
103,NJ0238001,24
104,NJ0238300,1
105,NJ0239001,1
106,NJ0247001,1
107,NJ0248001,1
108,NJ0248302,42
109,NJ0251001,5
110,NJ0255306,14
111,NJ0257001,2
112,NJ0264001,18
113,NJ0301001,1
114,NJ0301300,1
115,NJ0301311,1
116,NJ0301326,1
117,NJ0303001,36
118,NJ0304306,1
119,NJ0305001,4
120,NJ0306306,1
121,NJ0307002,5
122,NJ0311002,1
123,NJ0311302,1
124,NJ0313001,8
125,NJ0313312,1
126,NJ0314001,1
127,NJ0315001,3
128,NJ0315301,1
129,NJ0317303,1
130,NJ0317306,38
131,NJ0318002,1
132,NJ0318303,48
133,NJ0318304,1
134,NJ0318306,2
135,NJ0318310,29
136,NJ0318312,25
137,NJ0318314,30
138,NJ0318315,27
139,NJ0318316,1
140,NJ0319001,9
141,NJ0320001,36
142,NJ0320310,1
143,NJ0320319,1
144,NJ0320320,1
145,NJ0320323,3
146,NJ0320331,1
147,NJ0320335,1
148,NJ0320347,1
149,NJ0320358,1
150,NJ0320361,1
151,NJ0320367,1
152,NJ0321310,1
153,NJ0322001,20
154,NJ0324300,11
155,NJ0325001,1
156,NJ0325302,2
157,NJ0325320,1
158,NJ0325322,1
159,NJ0326001,2
160,NJ0326003,3
161,NJ0326005,1
162,NJ0326006,1
163,NJ0326009,1
164,NJ0326313,2
165,NJ0326326,1
166,NJ0328001,3
167,NJ0329003,1
168,NJ0329004,15
169,NJ0329005,1
170,NJ0329301,2
171,NJ0329303,5
172,NJ0329316,2
173,NJ0329325,1
174,NJ0329327,3
175,NJ0329332,20
176,NJ0332001,2
177,NJ0332002,27
178,NJ0332321,10
179,NJ0333001,2
180,NJ0333002,1
181,NJ0333003,5
182,NJ0333317,1
183,NJ0333325,3
184,NJ0333329,2
185,NJ0334316,1
186,NJ0334317,1
187,NJ0335302,2
188,NJ0335304,1
189,NJ0335310,19
190,NJ0335311,7
191,NJ0335312,2
192,NJ0335320,1
193,NJ0335322,1
194,NJ0335324,2
195,NJ0335327,1
196,NJ0335329,1
197,NJ0335330,1
198,NJ0338001,2
199,NJ0338300,2
200,NJ0339001,2
201,NJ0339301,1
202,NJ0339303,1
203,NJ0339315,1
204,NJ0339320,3
205,NJ0340001,1
206,NJ0340002,1
207,NJ0404001,1
208,NJ0405001,2
209,NJ0406309,3
210,NJ0407001,2
211,NJ0408001,13
212,NJ0410310,3
213,NJ0410317,1
214,NJ0411001,1
215,NJ0412001,52
216,NJ0414001,17
217,NJ0415002,1
218,NJ0415308,1
219,NJ0415314,1
220,NJ0415325,1
221,NJ0416001,2
222,NJ0418300,1
223,NJ0424001,28
224,NJ0428302,1
225,NJ0429001,20
226,NJ0435308,1
227,NJ0435316,1
228,NJ0435322,4
229,NJ0435324,1
230,NJ0435361,1
231,NJ0435366,1
232,NJ0435374,1
233,NJ0435382,1
234,NJ0435394,18
235,NJ0435400,3
236,NJ0435402,1
237,NJ0436001,1
238,NJ0436002,1
239,NJ0436007,33
240,NJ0436010,2
241,NJ0436339,1
242,NJ0436345,1
243,NJ0436356,2
244,NJ0436359,1
245,NJ0436381,2
246,NJ0436384,1
247,NJ0436391,2
248,NJ0436395,3
249,NJ0436412,1
250,NJ0436458,1
251,NJ0436491,1
252,NJ0436495,1
253,NJ0436499,1
254,NJ0502001,1
255,NJ0503001,2
256,NJ0504337,1
257,NJ0504375,1
258,NJ0504399,1
259,NJ0504407,2
260,NJ0505002,20
261,NJ0505303,1
262,NJ0505342,30
263,NJ0505376,1
264,NJ0505391,1
265,NJ0505406,1
266,NJ0505413,1
267,NJ0506001,3
268,NJ0506008,1
269,NJ0506009,1
270,NJ0506012,1
271,NJ0506305,1
272,NJ0506321,15
273,NJ0506331,1
274,NJ0506342,1
275,NJ0506355,1
276,NJ0506370,3
277,NJ0506406,2
278,NJ0506415,1
279,NJ0506428,1
280,NJ0509001,1
281,NJ0511003,1
282,NJ0511302,1
283,NJ0511305,18
284,NJ0511308,8
285,NJ0511327,2
286,NJ0511363,1
287,NJ0511401,2
288,NJ0511900,21
289,NJ0514001,1
290,NJ0516001,1
291,NJ0516003,20
292,NJ0516308,1
293,NJ0601001,1
294,NJ0602303,2
295,NJ0602304,1
296,NJ0602305,1
297,NJ0602307,1
298,NJ0602308,1
299,NJ0602315,3
300,NJ0602316,1
301,NJ0603308,1
302,NJ0603315,1
303,NJ0603322,2
304,NJ0603324,1
305,NJ0603329,1
306,NJ0603330,1
307,NJ0603331,1
308,NJ0604301,2
309,NJ0604307,2
310,NJ0604309,2
311,NJ0604314,1
312,NJ0605002,1
313,NJ0605317,2
314,NJ0605322,1
315,NJ0605323,1
316,NJ0606303,1
317,NJ0606304,3
318,NJ0607001,1
319,NJ0607309,1
320,NJ0607310,1
321,NJ0607311,2
322,NJ0607321,1
323,NJ0607324,6
