total_pop,white_pop,pov_pop,state,county
627551,473037,47055,34,025
373362,189649,40450,34,021
143570,125183,7573,34,037
154952,73427,26781,34,011
333316,192408,15745,34,035
800401,249087,130583,34,013
589699,500671,63181,34,029
272926,153899,40750,34,001
291372,230567,22815,34,015
837288,371039,69297,34,023
63776,47874,8860,34,033
510563,214683,85639,34,031
94549,80953,9796,34,009
510996,293604,65858,34,007
937920,542226,66918,34,003
557320,226675,56826,34,039
107088,88750,8602,34,041
679756,195557,115254,34,017
125717,108455,5403,34,019
449192,306647,28066,34,005
498847,359215,22800,34,027
