PATHROW	MIICA06_P1	MIICA11_P1	MIICA06_P2	MIICA11_P2	ExtraScene
					
1029	20051021	20111107	20060922	20100901	20110531
1127	20060913	20110911	20070527	20110522	20110927
1128	20050708	20090804	20060913	20110911	20110927
1129	20050910	20090921	20060508	20090430	20101111
1130	20050910	20110927	20060508	20110506	20101111
1131	20050724	20100722	20061015	20101010	20110607
1227	20060429	20110513	20070822	20110817	20100830
1228	20060429	20110513	20070822	20110817	20100830
1229	20040914	20090827	20050512	20100424	20100830
1230	20060429	20100424	20070923	20100830	20111105
1231	20060429	20100424	20060920	20100830	20100526
1232	20060429	20110326	20061209	20111105	20100830
1329	20050924	20090818	20060420	20100415	20100517
1330	20050924	20090818	20060420	20100415	20101008
1331	20050908	20101008	20060420	20110418	20061013
1332	20050908	20100906	20070712	20100704	20101008
1429	20050510	20090521	20051001	20090926	20090419
1430	20050510	20090521	20070804	20100828	20090926
1431	20050510	20090521	20070804	20100828	20110730
1432	20051001	20100828	20061121	20091129	
1433	20050219	20091129	20060801	20090825	20090521
1434	20051102	20101015	20060630	20090809	20110103
1435	20060411	20100406	20060801	20090809	20101031
1436	20051017	20101015	20060411	20100406	20100508
1529	20050906	20100819	20070523	20110603	20060605
1530	20061027	20111009	20070523	20110603	20110705
1531	20060418	20100429	20070523	20110603	20111009
1532	20050415	20090426	20050704	20090715	20091019
1533	20050415	20090426	20050805	20090715	20091019
1534	20060128	20110211	20060824	20100904	20091019
1535	20050226	20101209	20060504	20100429	20101022
1536	20070131	20100123	20070421	20100413	20091019
1537	20050125	20100208	20060504	20100702	20101022
1541	20050125	20090205	20060504	20090613	20111110
1542	20050125	20100208	20060504	20090205	20111110
1543	20050125	20090205	20060504	20100208	20111110
1629	20050508	20100420	20050913	20100911	20101013
1630	20050508	20100404	20050913	20101013	20111101
1631	20050913	20101013	20060409	20100404	20111101
1632	20050508	20090519	20051031	20101013	20090417
1633	20050508	20090519	20050913	20090706	20090417
1634	20050508	20090519	20051031	20100810	20090417
1635	20050727	20100725	20051015	20101029	20110525
1636	20050727	20100623	20061103	20101029	20101114
1637	20060119	20100319	20060425	20100607	20101029
1638	20050524	20110525	20051015	20101013	20101114
1639	20060308	20110322	20061205	20101216	20110525
1640	20050305	20110322	20061119	20101216	20110525
1641	20050305	20110322	20061119	20101216	20101114
1642	20041215	20101216	20050305	20110322	20101114
1730	20061009	20111007	20070521	20110601	20110820
1731	20050413	20090323	20061009	20111007	20111108
1732	20050413	20110414	20061009	20111007	20100918
1733	20061009	20111007	20070403	20110414	20111023
1734	20070302	20110313	20070825	20100902	20110414
1735	20050803	20100902	20051107	20111023	20100411
1736	20051107	20091001	20070521	20100411	20090424
1737	20050904	20100902	20060126	20101223	20091001
1738	20051123	20101207	20060502	20110430	20110313
1739	20051123	20101207	20060502	20110430	20110313
1740	20051123	20101207	20060502	20110430	20110313
