,PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Population_Within,Percent_Below_Poverty_Line,Percent_Minority,Percent_AfricanAmerican,Percent_Hispanic,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
0,1090001,AQUA PA BRISTOL,Bucks,Surface water,28728,17,34652,6.135288006000001,31.20454808,15.66431952,10.49578668,Private,9859,Urban,0,0,0,1,0,0,0,12.511181139800861,-0.6906531103021536,-1.8000352423698984,-12.511181139800861
1,1090002,BUCKINGHAM VLY REHAB & NURSING,Bucks,Ground water,190,9,1,0.0,0.0,0.0,0.0,Private,1,Rural,4,16,1,0,0,1,1,33.064006244070605,-0.36073952157713096,-0.4517052956049528,-17.064006244070605
2,1090005,AQUA PA CHALFONT,Bucks,Ground water,5900,15,5525,3.2941176469999998,8.416289593,1.8280542990000002,2.606334842,Private,2141,Urban,1,2,0,1,0,0,1,15.125505875408823,-0.6013146756952343,-1.030534510499696,-13.125505875408823
3,1090007,UMH ARBOR ESTATES,Bucks,Ground water,920,10,33,3.03030303,6.0606060610000005,0.0,3.03030303,Private,231,Urban,1,18,0,1,0,0,1,15.17554680923168,0.1289758582127896,0.12184822633334974,2.8244531907683204
4,1090022,FALLS TWP  WATER & SEWER DEPT,Bucks,Surface water purchased,24400,12,21738,4.595638973,18.5711657,0.0,5.018860981,Local government,7634,Urban,2,4,0,1,1,0,0,14.49935032503394,-0.5014320106865755,-0.72716176909916,-10.49935032503394
5,1090026,LOWER BUCKS CO JOINT MUN AUTH,Bucks,Surface water,63007,12,51710,3.6994778569999998,12.67259718,3.859988397,6.298588281000001,Local government,19617,Urban,0,7,0,1,1,0,0,14.675867094040466,-0.3622498708998721,-0.45420549784243874,-7.675867094040466
6,1090037,MORRISVILLE MUNIC AUTHORITY,Bucks,Surface water,13342,4,12063,3.299345105,31.91577551,14.55690956,10.07212136,Local government,4231,Urban,11,53,0,1,1,0,0,14.8911594285482,1.772900763378697,1.117784533230693,38.1088405714518
7,1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Surface water purchased,33000,20,24430,2.918542775,12.87351617,0.7531723290000001,3.323782235,Public/Private,10226,Urban,0,4,0,1,0,0,0,13.08213320714581,-0.47987806336894523,-0.6774263772673235,-9.08213320714581
8,1090046,PERKASIE REGIONAL AUTHORITY,Bucks,Ground water,15000,20,9288,4.295865633,3.994401378,1.259689922,1.658053402,Local government,3821,Urban,0,0,0,1,1,0,1,16.8775090022235,-0.6940846336349803,-1.8780855185935605,-16.8775090022235
9,1090048,RED CLIFF MHP,Bucks,Ground water,30,3,1,0.0,0.0,0.0,0.0,Private,30,Urban,1,3,0,1,0,1,1,23.730883464481266,-0.608854873369287,-1.0612399279599807,-20.730883464481266
10,1090049,PEDIATRIC SPECIALY CARE,Bucks,Ground water,56,13,3,0.0,0.0,0.0,0.0,Private,5,Rural,0,12,1,0,0,1,1,33.064006244070605,-0.4453010287442959,-0.6043723300785074,-21.064006244070605
11,1090050,QUAKER VIEW MOBILE HOME PARK,Bucks,Ground water,60,4,34,2.9411764710000003,5.882352941000001,2.9411764710000003,2.9411764710000003,Private,20,Rural,0,2,1,0,0,1,1,31.597829235206085,-0.6545185684031003,-1.3074314800610933,-29.597829235206085
12,1090052,RICHLAND MEADOWS MHP,Bucks,Ground water,750,9,103,3.8834951460000005,12.62135922,0.970873786,5.825242717999999,Private,400,Urban,0,9,0,1,0,0,1,15.007658822228338,-0.27735362752899934,-0.32544214366677343,-6.007658822228338
13,1090053,CHERRY MOBILE HOME PARK,Bucks,Ground water,62,6,7,0.0,14.28571429,0.0,0.0,Private,42,Rural,0,15,1,0,0,1,1,33.262380547132814,-0.38378800388585804,-0.490379538765871,-18.262380547132814
14,1090057,RICHLANDTOWN WATER DEPARTMENT,Bucks,Ground water,1450,7,126,2.3809523809999997,11.9047619,3.174603175,5.555555556,Local government,469,Urban,3,44,0,1,1,0,1,17.469007559800975,1.0546483246271647,0.7599410030189988,26.530992440199025
15,1090058,RIEGELSVILLE WATER AUTHORITY,Bucks,Ground water,980,15,104,3.8461538460000004,6.730769231,0.0,3.8461538460000004,Local government,402,Rural,0,22,1,0,1,0,1,23.714991980457288,-0.05040179641461123,-0.05165717268522636,-1.7149919804572882
16,1090060,GREENTOP MOBILE HOME PARK,Bucks,Ground water,120,7,9,0.0,11.11111111,0.0,0.0,Private,51,Urban,1,5,0,1,0,1,1,23.841548510902093,-0.5508237391092694,-0.8579305399897018,-18.841548510902093
17,1090063,UPPER SOUTHAMPTON MUN AUTH,Bucks,Surface water purchased,16000,15,14922,2.372336148,5.274091945,0.174239378,1.82951347,Local government,5100,Urban,3,85,0,1,1,0,0,14.94959507387799,3.2463533015798767,1.6916411990143825,70.05040492612201
18,1090064,SPRINGTOWN WATER AUTHORITY,Bucks,Ground water,600,10,60,5.0,6.666666667,0.0,1.6666666669999999,Local government,196,Rural,0,3,1,0,1,1,1,34.73268210738233,-0.6388381910672818,-1.207698601220037,-31.73268210738233
19,1090069,WARMINSTER MUNICIPAL AUTHORITY,Bucks,Surface water purchased,40000,65,33356,3.033936923,14.51313107,2.674181557,8.517208298,Local government,9700,Urban,0,3,0,1,1,0,0,14.846973026443623,-0.5527590444008407,-0.8638305799775585,-11.846973026443623
20,1090070,WARRINGTON TWP WATER&SEW DEPT,Bucks,Surface water purchased,21588,33,23672,4.220175735,17.29469415,1.748901656,5.441027374,Local government,6695,Urban,4,45,0,1,1,0,0,14.58033824931326,1.4448569315249173,0.9634995116014999,30.419661750686743
21,1090074,PA AMERICAN WATER CO YARDLEY,Bucks,Surface water,34411,15,32081,2.119634675,14.51638041,2.471868084,3.0890558269999997,Private,12167,Urban,0,2,0,1,0,0,0,13.262289037018691,-0.5871344146592826,-0.9766436136027375,-11.262289037018691
22,1090078,AQUA PA BENSALEM,Bucks,Surface water purchased,44543,11,60729,4.2039223439999995,29.13435097,7.278236098,7.322695911,Local government,14000,Urban,0,0,0,1,1,0,0,14.656673208239713,-0.6925884875725999,-1.8416172129609174,-14.656673208239713
23,1090079,BCWSA MAIN LOWER SOUTH,Bucks,Surface water purchased,52621,10,47106,2.999617883,13.6203456,4.680932365,3.243748142,Local government,15800,Urban,3,10,0,1,1,0,0,14.849707413535434,-0.22623787397926376,-0.25636087887897224,-4.849707413535434
24,1090081,DOYLESTOWN BORO WATER DEPT,Bucks,Ground water,8700,19,7680,4.153645833,8.619791667000001,1.4713541669999999,4.765625,Local government,3069,Urban,1,11,0,1,1,0,1,16.94937553445466,-0.24364437729750218,-0.27928321005057377,-5.94937553445466
25,1090082,QUAKERTOWN BORO,Bucks,Ground water,12800,30,9062,4.667843743,10.67093357,3.2994923860000003,5.7161774439999995,Local government,3551,Urban,0,5,0,1,1,0,1,16.822707766152718,-0.4877679868913822,-0.695161809576208,-11.822707766152718
26,1090084,DELAWARE VALLEY UNIV,Bucks,Ground water,1200,5,904,1.769911504,12.05752212,5.973451327,2.5442477880000003,Public/Private,41,Urban,0,38,0,1,0,1,1,23.17442930859426,0.4457645754385723,0.3760495840245591,14.82557069140574
27,1090089,NORTHAMPTON BUCKS CO MUN AUTH,Bucks,Surface water purchased,36750,54,39740,2.043281329,8.407146452000001,0.541016608,1.638147962,Local government,10222,Urban,0,49,0,1,1,0,0,15.04952048717432,1.5630904475999188,1.0206529036732506,33.95047951282568
28,1090091,TRUMBAUERSVILLE MUN WATERWORKS,Bucks,Ground water,1057,9,162,1.234567901,6.790123457000001,1.8518518519999998,3.086419753,Local government,392,Urban,0,18,0,1,1,0,1,17.759587265922548,0.009402538085092728,0.009361009783146492,0.24041273407745223
29,1090093,NESHAMINY MANOR CENTER,Bucks,Ground water,2100,9,458,1.528384279,12.44541485,6.3318777289999995,2.401746725,Public/Private,18,Urban,0,48,0,1,0,1,1,23.26939186273016,0.7405791997192238,0.574695585101644,24.73060813726984
30,1090097,OLDE COLONIAL GREENE,Bucks,Ground water,900,6,72,2.777777778,4.166666667,1.388888889,1.388888889,Public/Private,309,Urban,0,35,0,1,0,0,1,15.225902394081261,0.9000253710878039,0.6715669292233831,19.77409760591874
31,1090098,DOYLESTOWN HOSP T/A PINE RUN,Bucks,Ground water,700,5,100,3.0,4.0,1.0,1.0,Public/Private,320,Urban,0,96,0,1,0,0,1,15.169930830299219,3.69236987860462,1.8394868989945425,80.83006916970078
32,1090099,DURHAM VILLAGE RES ASSOC,Bucks,Ground water,160,6,55,3.6363636360000005,12.72727273,0.0,3.6363636360000005,Local government,60,Urban,6,31,0,1,1,1,1,25.552161371457547,0.14870429920926762,0.13936291689441915,5.447838628542453
33,1090101,YORKSHIRE MEADOWS CONDO ASSOC,Bucks,Ground water,90,4,6,0.0,16.66666667,0.0,0.0,Public/Private,72,Urban,3,39,0,1,0,1,1,23.897074409558893,0.4405113914730735,0.37223093179013095,15.102925590441107
34,1090102,HERMITAGE CONDOMINIUM ASSN,Bucks,Ground water,75,6,1,0.0,0.0,0.0,0.0,Public/Private,49,Urban,0,41,0,1,0,1,1,23.730883464481266,0.5071846445641005,0.41989405439325905,17.269116535518734
35,1090103,INGHAM MEWS CONDOMINUM ASSOC,Bucks,Ground water,97,6,8,0.0,12.5,0.0,0.0,Public/Private,64,Rural,0,93,1,0,0,1,1,33.23751881680023,1.2568544096133798,0.8685500586754541,59.76248118319977
36,1090104,BEDMINSTER MUN AUTH,Bucks,Ground water,3042,6,336,2.976190476,7.738095238,0.0,3.571428571,Local government,1100,Urban,0,2,0,1,1,0,1,17.270602628657283,-0.6139065086408684,-1.0834288866396093,-15.270602628657283
37,1090106,DUBLIN ACRES HOMEOWNERS ASSOC,Bucks,Ground water,175,4,44,4.545454545,15.90909091,0.0,13.63636364,Public/Private,54,Urban,0,5,0,1,0,1,1,22.187638302521528,-0.539518163779756,-0.8254824840088734,-17.187638302521528
38,1090107,BOROUGH OF DUBLIN,Bucks,Ground water,2200,10,1907,5.24383849,16.25589932,0.419507079,14.42055585,Local government,350,Urban,0,1,0,1,1,0,1,16.704918872142507,-0.6524387197643724,-1.294326439024784,-15.704918872142507
39,1090117,HILLTOWN TWP WATER&SEWER AUTH,Bucks,Surface water purchased,5415,14,2550,1.8039215690000001,17.52941176,2.5098039219999997,9.37254902,Local government,1248,Urban,0,16,0,1,1,0,0,15.166022172644968,0.03810630996510674,0.03743980060759421,0.8339778273550316
40,1090121,UPPER MAKEFIELD ENCLAVE,Bucks,Ground water,25,4,19,5.263157895,10.52631579,0.0,5.263157895,Local government,15,Rural,0,33,1,0,1,1,1,34.64032949962292,-0.033110317346699086,-0.03364397158905186,-1.640329499622922
