,PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Population_Within,Percent_Below_Poverty_Line,Percent_Minority,Percent_AfricanAmerican,Percent_Hispanic,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
0,1090001,AQUA PA BRISTOL,Bucks,Surface water,28728,17,34652,6.135288006000001,31.20454808,15.66431952,10.49578668,Private,9859,Urban,0,0,0,1,0,0,0,1.153340820984961,-0.4607685169400494,-0.9384763355041404,-1.153340820984961
1,1090002,BUCKINGHAM VLY REHAB & NURSING,Bucks,Ground water,190,9,1,0.0,0.0,0.0,0.0,Private,1,Rural,4,16,1,0,0,1,1,0.722134746360665,1.9852258437516364,1.092755466386292,3.277865253639335
2,1090005,AQUA PA CHALFONT,Bucks,Ground water,5900,15,5525,3.2941176469999998,8.416289593,1.8280542990000002,2.606334842,Private,2141,Urban,1,2,0,1,0,0,1,0.4237386361060939,0.5460330902212334,0.42061684016064854,0.576261363893906
3,1090007,UMH ARBOR ESTATES,Bucks,Ground water,920,10,33,3.03030303,6.0606060610000005,0.0,3.03030303,Private,231,Urban,1,18,0,1,0,0,1,0.4151143552616501,0.5634963784711863,0.4313474666720992,0.5848856447383499
4,1090022,FALLS TWP  WATER & SEWER DEPT,Bucks,Surface water purchased,24400,12,21738,4.595638973,18.5711657,0.0,5.018860981,Local government,7634,Urban,2,4,0,1,1,0,0,1.0424591928095341,0.4191509083753255,0.3395799105794027,0.9575408071904659
5,1090026,LOWER BUCKS CO JOINT MUN AUTH,Bucks,Surface water,63007,12,51710,3.6994778569999998,12.67259718,3.859988397,6.298588281000001,Local government,19617,Urban,0,7,0,1,1,0,0,0.9936142653303046,-0.45409876345729167,-0.9046196528356434,-0.9936142653303046
6,1090037,MORRISVILLE MUNIC AUTHORITY,Bucks,Surface water,13342,4,12063,3.299345105,31.91577551,14.55690956,10.07212136,Local government,4231,Urban,11,53,0,1,1,0,0,1.2208293325788568,3.7098035026770124,1.637260454681514,9.779170667421143
7,1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Surface water purchased,33000,20,24430,2.918542775,12.87351617,0.7531723290000001,3.323782235,Public/Private,10226,Urban,0,4,0,1,0,0,0,0.9999421193914488,-0.4543972417583172,-0.9060665326877969,-0.9999421193914488
8,1090046,PERKASIE REGIONAL AUTHORITY,Bucks,Ground water,15000,20,9288,4.295865633,3.994401378,1.259689922,1.658053402,Local government,3821,Urban,0,0,0,1,1,0,1,0.40166560146773955,-0.39737853624765174,-0.6970336968430407,-0.40166560146773955
9,1090048,RED CLIFF MHP,Bucks,Ground water,30,3,1,0.0,0.0,0.0,0.0,Private,30,Urban,1,3,0,1,0,1,1,0.5167053555072212,0.3891022616285223,0.3184826581381152,0.4832946444927788
10,1090049,PEDIATRIC SPECIALY CARE,Bucks,Ground water,56,13,3,0.0,0.0,0.0,0.0,Private,5,Rural,0,12,1,0,0,1,1,0.722134746360665,-0.437357990708902,-0.8314743797855372,-0.722134746360665
11,1090050,QUAKER VIEW MOBILE HOME PARK,Bucks,Ground water,60,4,34,2.9411764710000003,5.882352941000001,2.9411764710000003,2.9411764710000003,Private,20,Rural,0,2,1,0,0,1,1,0.7348372720222817,-0.4383627370294553,-0.8354854285980471,-0.7348372720222817
12,1090052,RICHLAND MEADOWS MHP,Bucks,Ground water,750,9,103,3.8834951460000005,12.62135922,0.970873786,5.825242717999999,Private,400,Urban,0,9,0,1,0,0,1,0.4388085304825244,-0.40416006508355495,-0.7171265462595675,-0.4388085304825244
13,1090053,CHERRY MOBILE HOME PARK,Bucks,Ground water,62,6,7,0.0,14.28571429,0.0,0.0,Private,42,Rural,0,15,1,0,0,1,1,0.8377178133130093,-0.44557602081288034,-0.8655861199706824,-0.8377178133130093
14,1090057,RICHLANDTOWN WATER DEPARTMENT,Bucks,Ground water,1450,7,126,2.3809523809999997,11.9047619,3.174603175,5.555555556,Local government,469,Urban,3,44,0,1,1,0,1,0.4486671060503234,2.3077020481262163,1.2046681422560268,2.5513328939496764
15,1090058,RIEGELSVILLE WATER AUTHORITY,Bucks,Ground water,980,15,104,3.8461538460000004,6.730769231,0.0,3.8461538460000004,Local government,402,Rural,0,22,1,0,1,0,1,0.5814232385754646,-0.4239794304642075,-0.7815974120359881,-0.5814232385754646
16,1090060,GREENTOP MOBILE HOME PARK,Bucks,Ground water,120,7,9,0.0,11.11111111,0.0,0.0,Private,51,Urban,1,5,0,1,0,1,1,0.5799541915531756,0.3069571548681414,0.2602727053350521,0.4200458084468244
17,1090063,UPPER SOUTHAMPTON MUN AUTH,Bucks,Surface water purchased,16000,15,14922,2.372336148,5.274091945,0.174239378,1.82951347,Local government,5100,Urban,3,85,0,1,1,0,0,0.9383985767742485,0.9915899518429585,0.6697927803065011,2.0616014232257514
18,1090064,SPRINGTOWN WATER AUTHORITY,Bucks,Ground water,600,10,60,5.0,6.666666667,0.0,1.6666666669999999,Local government,196,Rural,0,3,1,0,1,1,1,0.7238285053689406,-0.43749359731402276,-0.8320133239452827,-0.7238285053689406
19,1090069,WARMINSTER MUNICIPAL AUTHORITY,Bucks,Surface water purchased,40000,65,33356,3.033936923,14.51313107,2.674181557,8.517208298,Local government,9700,Urban,0,3,0,1,1,0,0,1.0228677373061847,-0.4554523923112807,-0.9112295191155926,-1.0228677373061847
20,1090070,WARRINGTON TWP WATER&SEW DEPT,Bucks,Surface water purchased,21588,33,23672,4.220175735,17.29469415,1.748901656,5.441027374,Local government,6695,Urban,4,45,0,1,1,0,0,1.0344755713419567,1.307130532249467,0.8191088519075933,2.9655244286580436
21,1090074,PA AMERICAN WATER CO YARDLEY,Bucks,Surface water,34411,15,32081,2.119634675,14.51638041,2.471868084,3.0890558269999997,Private,12167,Urban,0,2,0,1,0,0,0,1.0293068406855965,-0.45574157580242863,-0.9126578748598302,-1.0293068406855965
22,1090078,AQUA PA BENSALEM,Bucks,Surface water purchased,44543,11,60729,4.2039223439999995,29.13435097,7.278236098,7.322695911,Local government,14000,Urban,0,0,0,1,1,0,0,1.1702110084052,-0.4613811238664943,-0.9417600591452969,-1.1702110084052
23,1090079,BCWSA MAIN LOWER SOUTH,Bucks,Surface water purchased,52621,10,47106,2.999617883,13.6203456,4.680932365,3.243748142,Local government,15800,Urban,3,10,0,1,1,0,0,1.0139377034866093,0.8913270336300126,0.6185418704510475,1.9860622965133907
24,1090081,DOYLESTOWN BORO WATER DEPT,Bucks,Ground water,8700,19,7680,4.153645833,8.619791667000001,1.4713541669999999,4.765625,Local government,3069,Urban,1,11,0,1,1,0,1,0.42233715734769406,0.5488310752331247,0.4223439525152296,0.5776628426523059
25,1090082,QUAKERTOWN BORO,Bucks,Ground water,12800,30,9062,4.667843743,10.67093357,3.2994923860000003,5.7161774439999995,Local government,3551,Urban,0,5,0,1,1,0,1,0.42815348123080565,-0.402300949228022,-0.7115312878814161,-0.42815348123080565
26,1090084,DELAWARE VALLEY UNIV,Bucks,Ground water,1200,5,904,1.769911504,12.05752212,5.973451327,2.5442477880000003,Public/Private,41,Urban,0,38,0,1,0,1,1,0.5704864325529448,-0.42272850390565503,-0.7772306788928882,-0.5704864325529448
27,1090089,NORTHAMPTON BUCKS CO MUN AUTH,Bucks,Surface water purchased,36750,54,39740,2.043281329,8.407146452000001,0.541016608,1.638147962,Local government,10222,Urban,0,49,0,1,1,0,0,0.9742081509268274,-0.45316304329010104,-0.9001216550556306,-0.9742081509268274
28,1090091,TRUMBAUERSVILLE MUN WATERWORKS,Bucks,Ground water,1057,9,162,1.234567901,6.790123457000001,1.8518518519999998,3.086419753,Local government,392,Urban,0,18,0,1,1,0,1,0.43274875736567747,-0.4031108080905114,-0.7139603240829905,-0.43274875736567747
29,1090093,NESHAMINY MANOR CENTER,Bucks,Ground water,2100,9,458,1.528384279,12.44541485,6.3318777289999995,2.401746725,Public/Private,18,Urban,0,48,0,1,0,1,1,0.5748499711125326,-0.4232319684675588,-0.7789826996705804,-0.5748499711125326
30,1090097,OLDE COLONIAL GREENE,Bucks,Ground water,900,6,72,2.777777778,4.166666667,1.388888889,1.388888889,Public/Private,309,Urban,0,35,0,1,0,0,1,0.40855328767750654,-0.3987019895442815,-0.7008877241117363,-0.40855328767750654
31,1090098,DOYLESTOWN HOSP T/A PINE RUN,Bucks,Ground water,700,5,100,3.0,4.0,1.0,1.0,Public/Private,320,Urban,0,96,0,1,0,0,1,0.4065019159126671,-0.39831114027593595,-0.699746253476143,-0.4065019159126671
32,1090099,DURHAM VILLAGE RES ASSOC,Bucks,Ground water,160,6,55,3.6363636360000005,12.72727273,0.0,3.6363636360000005,Local government,60,Urban,6,31,0,1,1,1,1,0.5628776215272678,4.074732797954587,1.7305026532034324,5.437122378472732
