,PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Minority,Percent_Below_Poverty_Line,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
0,1090001,AQUA PA BRISTOL,Bucks,Surface water,28728,17,14.5,6.0,Private,9859,Urban,0,0,0,0,1,0,0,0,13.422503641987845,-0.7007583305167985,-1.8363987979319019,-13.422503641987845
1,1090002,BUCKINGHAM VLY REHAB & NURSING,Bucks,Ground water,190,9,14.5,6.0,Private,1,Urban,12,4,16,0,1,0,1,1,23.663194842891922,-0.2287548567946719,-0.25910778874032264,-7.663194842891922
2,1090005,AQUA PA CHALFONT,Bucks,Ground water,5900,15,14.5,6.0,Private,2141,Urban,1,1,2,0,1,0,0,1,15.786151985543933,-0.6136600060298886,-1.0611814775730104,-13.786151985543933
3,1090007,UMH ARBOR ESTATES,Bucks,Ground water,920,10,14.5,6.0,Private,231,Urban,17,1,18,0,1,0,0,1,15.786151985543933,0.09854453855759994,0.09434340970046905,2.213848014456067
4,1090022,FALLS TWP  WATER & SEWER DEPT,Bucks,Surface water purchased,24400,12,14.5,6.0,Local government,7634,Urban,2,2,4,0,1,1,0,0,12.78651321440726,-0.48110283797000924,-0.6748700549495831,-8.78651321440726
5,1090026,LOWER BUCKS CO JOINT MUN AUTH,Bucks,Surface water,63007,12,14.5,6.0,Local government,19617,Urban,7,0,7,0,1,1,0,0,12.78651321440726,-0.3168387574763462,-0.3815895674148331,-5.786513214407259
6,1090037,MORRISVILLE MUNIC AUTHORITY,Bucks,Surface water,13342,4,14.5,6.0,Local government,4231,Urban,42,11,53,0,1,1,0,0,12.78651321440726,2.2018771434264868,1.307466429582316,40.21348678559274
7,1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Surface water purchased,33000,20,14.5,6.0,Public/Private,10226,Urban,4,0,4,0,1,0,0,0,13.422503641987845,-0.4919274449509466,-0.6989536443157797,-9.422503641987845
8,1090044,DURHAM QUARTERS APTS,Bucks,Ground water,25,3,14.5,6.0,Private,16,Urban,34,5,39,0,1,0,1,1,23.663194842891922,0.45782062694859815,0.38551913813134225,15.336805157108078
9,1090046,PERKASIE REGIONAL AUTHORITY,Bucks,Ground water,15000,20,14.5,6.0,Local government,3821,Urban,0,0,0,0,1,1,0,1,15.038166228271955,-0.7021396039514642,-1.866604316553648,-15.038166228271955
10,1090048,RED CLIFF MHP,Bucks,Ground water,30,3,14.5,6.0,Private,30,Urban,2,1,3,0,1,0,1,1,23.663194842891922,-0.6168192606495636,-1.0740185544964522,-20.663194842891922
11,1090049,PEDIATRIC SPECIALY CARE,Bucks,Ground water,56,13,14.5,6.0,Private,5,Urban,12,0,12,0,1,0,1,1,23.663194842891922,-0.3481592887500232,-0.4296878434660018,-11.663194842891922
12,1090050,QUAKER VIEW MOBILE HOME PARK,Bucks,Ground water,60,4,14.5,6.0,Private,20,Urban,2,0,2,0,1,0,1,1,23.663194842891922,-0.6466703686384014,-1.2191056186609128,-21.663194842891922
13,1090052,RICHLAND MEADOWS MHP,Bucks,Ground water,750,9,14.5,6.0,Private,400,Urban,9,0,9,0,1,0,0,1,15.786151985543933,-0.30207051777286237,-0.3598123119238739,-6.786151985543933
14,1090053,CHERRY MOBILE HOME PARK,Bucks,Ground water,62,6,14.5,6.0,Private,42,Urban,15,0,15,0,1,0,1,1,23.663194842891922,-0.2586059647835097,-0.2987413440164054,-8.663194842891922
15,1090057,RICHLANDTOWN WATER DEPARTMENT,Bucks,Ground water,1450,7,14.5,6.0,Local government,469,Urban,41,3,44,0,1,1,0,1,15.038166228271955,1.3522426993763859,0.9206004519688307,28.961833771728045
16,1090058,RIEGELSVILLE WATER AUTHORITY,Bucks,Ground water,980,15,14.5,6.0,Local government,402,Urban,22,0,22,0,1,1,0,1,15.038166228271955,0.3250515477124608,0.2857250469316308,6.961833771728045
17,1090060,GREENTOP MOBILE HOME PARK,Bucks,Ground water,120,7,14.5,6.0,Private,51,Urban,4,1,5,0,1,0,1,1,23.663194842891922,-0.557117044671888,-0.8659164063242003,-18.663194842891922
18,1090063,UPPER SOUTHAMPTON MUN AUTH,Bucks,Surface water purchased,16000,15,14.5,6.0,Local government,5100,Urban,82,3,85,0,1,1,0,0,12.78651321440726,3.9540273353588917,1.9317018177203154,72.21348678559274
19,1090064,SPRINGTOWN WATER AUTHORITY,Bucks,Ground water,600,10,14.5,6.0,Local government,196,Urban,3,0,3,0,1,1,1,1,22.541975895409124,-0.6120440816837266,-1.0542246317236967,-19.541975895409124
