,PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Minority,Percent_Below_Poverty_Line,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
0,1090001,AQUA PA BRISTOL,Bucks,Surface water,28728,17,14.5,6.0,Private,9859,Urban,0,0,0,0,1,0,0,0,1.4995157937057035,-0.4695052002861639,-0.9954657540431242,-1.4995157937057035
1,1090002,BUCKINGHAM VLY REHAB & NURSING,Bucks,Ground water,190,9,14.5,6.0,Private,1,Urban,12,4,16,0,1,0,1,1,0.7984584083129742,1.7716849455374855,1.0109717493000363,3.201541591687026
2,1090005,AQUA PA CHALFONT,Bucks,Ground water,5900,15,14.5,6.0,Private,2141,Urban,1,1,2,0,1,0,0,1,0.5393004669003546,0.35706123717459437,0.29606480402531904,0.4606995330996454
3,1090007,UMH ARBOR ESTATES,Bucks,Ground water,920,10,14.5,6.0,Private,231,Urban,17,1,18,0,1,0,0,1,0.5393004669003546,0.35706123717459437,0.29606480402531904,0.4606995330996454
4,1090022,FALLS TWP  WATER & SEWER DEPT,Bucks,Surface water purchased,24400,12,14.5,6.0,Local government,7634,Urban,2,2,4,0,1,1,0,0,1.4088471509431233,0.19607923741612854,0.175309425625153,0.5911528490568767
5,1090026,LOWER BUCKS CO JOINT MUN AUTH,Bucks,Surface water,63007,12,14.5,6.0,Local government,19617,Urban,7,0,7,0,1,1,0,0,1.4088471509431233,-0.46729991309952135,-0.9816224752884327,-1.4088471509431233
6,1090037,MORRISVILLE MUNIC AUTHORITY,Bucks,Surface water,13342,4,14.5,6.0,Local government,4231,Urban,42,11,53,0,1,1,0,0,1.4088471509431233,3.1812854147365535,1.485649707130536,9.591152849056877
7,1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Surface water purchased,33000,20,14.5,6.0,Public/Private,10226,Urban,4,0,4,0,1,0,0,0,1.4995157937057035,-0.4695052002861639,-0.9954657540431242,-1.4995157937057035
8,1090044,DURHAM QUARTERS APTS,Bucks,Ground water,25,3,14.5,6.0,Private,16,Urban,34,5,39,0,1,0,1,1,0.7984584083129742,2.3250698992540824,1.2127408426738016,4.201541591687025
9,1090046,PERKASIE REGIONAL AUTHORITY,Bucks,Ground water,15000,20,14.5,6.0,Local government,3821,Urban,0,0,0,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
10,1090048,RED CLIFF MHP,Bucks,Ground water,30,3,14.5,6.0,Private,30,Urban,2,1,3,0,1,0,1,1,0.7984584083129742,0.11153008438769409,0.10422327547958528,0.2015415916870258
11,1090049,PEDIATRIC SPECIALY CARE,Bucks,Ground water,56,13,14.5,6.0,Private,5,Urban,12,0,12,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
12,1090050,QUAKER VIEW MOBILE HOME PARK,Bucks,Ground water,60,4,14.5,6.0,Private,20,Urban,2,0,2,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
13,1090052,RICHLAND MEADOWS MHP,Bucks,Ground water,750,9,14.5,6.0,Private,400,Urban,9,0,9,0,1,0,0,1,0.5393004669003546,-0.4179802193952456,-0.7632639156920635,-0.5393004669003546
14,1090053,CHERRY MOBILE HOME PARK,Bucks,Ground water,62,6,14.5,6.0,Private,42,Urban,15,0,15,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
15,1090057,RICHLANDTOWN WATER DEPARTMENT,Bucks,Ground water,1450,7,14.5,6.0,Local government,469,Urban,41,3,44,0,1,1,0,1,0.5066915130098179,2.035670470406881,1.1081798646509788,2.4933084869901823
16,1090058,RIEGELSVILLE WATER AUTHORITY,Bucks,Ground water,980,15,14.5,6.0,Local government,402,Urban,22,0,22,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
17,1090060,GREENTOP MOBILE HOME PARK,Bucks,Ground water,120,7,14.5,6.0,Private,51,Urban,4,1,5,0,1,0,1,1,0.7984584083129742,0.11153008438769409,0.10422327547958528,0.2015415916870258
18,1090063,UPPER SOUTHAMPTON MUN AUTH,Bucks,Surface water purchased,16000,15,14.5,6.0,Local government,5100,Urban,82,3,85,0,1,1,0,0,1.4088471509431233,0.5277688126739535,0.41035894330522743,1.5911528490568767
19,1090064,SPRINGTOWN WATER AUTHORITY,Bucks,Ground water,600,10,14.5,6.0,Local government,196,Urban,3,0,3,0,1,1,1,1,0.7501793968560825,-0.438418808309424,-0.8389297782990067,-0.7501793968560825
