,PWS_ID,PWS_Name,County_Name,Ownership,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Percent_AfricanAmerican,Percent_Hispanic,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
0,1090001,AQUA PA BRISTOL,Bucks,Private Investor Owned,Surface water,28728,17,6.146904574,31.44355571,15.86534236,10.49485805,Private,9859,Urban,0,0,0,0,1,0,0,0,13.016355752406927,-0.6910161268675732,-1.810216026228702,-13.016355752406927
1,1090002,BUCKINGHAM VLY REHAB & NURSING CTR,Bucks,Institutional Health,Ground water,190,9,0.0,0.0,0.0,0.0,Private,1,Rural,12,4,16,1,0,0,1,1,33.9999856710343,-0.3700449414822596,-0.4671243298432617,-17.999985671034302
2,1090005,AQUA PA CHALFONT,Bucks,Private Investor Owned,Ground water,5900,15,3.3530571989999998,8.415516108,1.824457594,2.679158448,Private,2141,Urban,1,1,2,0,1,0,0,1,14.914889166496232,-0.599756846794725,-1.0246444386123275,-12.914889166496232
3,1090007,UMH ARBOR ESTATES,Bucks,Mobile Home Park,Ground water,920,10,2.419354839,4.838709677,0.0,3.225806452,Private,231,Urban,17,1,18,0,1,0,0,1,14.96116328136004,0.14069159991654465,0.13227966598156737,3.03883671863996
4,1090022,FALLS TWP AUTH,Bucks,Authority - (Purchases),Surface water purchased,24400,12,4.632000372,18.746799499999998,6.494111075,4.999767236,Local government,7634,Urban,2,2,4,0,1,1,0,0,14.460464524928385,-0.5007879897577008,-0.7257258126715328,-10.460464524928385
5,1090026,LOWER BUCKS CNTY JT MUNI AUTH,Bucks,Authority,Surface water,63007,12,3.68911645,12.54149553,3.803522197,6.21354489,Local government,19617,Urban,7,0,7,0,1,1,0,0,14.377790618581216,-0.35520410034543687,-0.4427445343601961,-7.377790618581216
6,1090037,MORRISVILLE MUNI AUTH WATER FILTRATION PLANT,Bucks,Authority,Surface water,13342,4,3.297881111,32.57482068,14.81573089,10.42954901,Local government,4231,Urban,42,11,53,0,1,1,0,0,15.495683958157592,1.677401435789564,1.074150113017216,37.50431604184241
7,1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Private Investor Owned,Surface water purchased,33000,20,2.937024547,12.724492199999998,0.7489608659999999,3.3722845269999997,Public/Private,10226,Urban,4,0,4,0,1,0,0,0,12.870122384193069,-0.47615091735521076,-0.6692690714181084,-8.870122384193069
8,1090044,DURHAM QUARTERS APT,Bucks,Apartments,Ground water,25,3,0.0,0.0,0.0,0.0,Private,16,Rural,34,5,39,1,0,0,1,1,33.9999856710343,0.10279063792533866,0.0981751826644815,5.0000143289656975
9,1090046,PERKASIE BORO AUTH,Bucks,Authority,Ground water,15000,20,4.35580375,4.4515357,1.1248504190000002,2.313522138,Local government,3821,Urban,0,0,0,0,1,1,0,1,16.380688204751035,-0.6936341565125843,-1.8701063660612902,-16.380688204751035
10,1090048,RED CLIFF VILLAGE MHP,Bucks,Mobile Home Park,Ground water,30,3,3.333333333,3.333333333,0.0,1.6666666669999999,Private,30,Urban,2,1,3,0,1,0,1,1,22.276078373372254,-0.602566455895456,-1.0355529136872923,-19.276078373372254
11,1090050,QUAKER VIEW MHP,Bucks,Mobile Home Park,Ground water,60,4,0.0,7.407407407000001,0.0,3.7037037039999996,Private,20,Rural,2,0,2,1,0,0,1,1,34.87159199667678,-0.6590039456101027,-1.3413225345265312,-32.87159199667678
12,1090052,RICHLAND MEADOWS MHP,Bucks,Mobile Home Park,Ground water,750,9,4.06779661,12.54237288,0.6779661020000001,6.101694915,Private,400,Urban,9,0,9,0,1,0,0,1,14.950348907595052,-0.2756844258029673,-0.3231124065824783,-5.9503489075950515
