,PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
0,1090001,AQUA PA BRISTOL,Bucks,Surface water,28728,17,14.5,6.0,Private,9859,Urban,0,0,0,0,1,0,0,0,1.4997789559268224,-0.4685002361567977,-0.9941087085148279,-1.4997789559268224
1,1090002,BUCKINGHAM VLY REHAB & NURSING,Bucks,Ground water,190,9,14.5,6.0,Private,1,Urban,12,4,16,0,1,0,1,1,0.7984904177811558,1.768224927595096,1.0088296618740122,3.2015095822188444
2,1090005,AQUA PA CHALFONT,Bucks,Ground water,5900,15,14.5,6.0,Private,2141,Urban,1,1,2,0,1,0,0,1,0.5393506401755961,0.35638484267173254,0.29548154780190244,0.4606493598244039
3,1090007,UMH ARBOR ESTATES,Bucks,Ground water,920,10,14.5,6.0,Private,231,Urban,17,1,18,0,1,0,0,1,0.5393506401755961,0.35638484267173254,0.29548154780190244,0.4606493598244039
4,1090022,FALLS TWP  WATER & SEWER DEPT,Bucks,Surface water purchased,24400,12,14.5,6.0,Local government,7634,Urban,2,2,4,0,1,1,0,0,1.4090005766401896,0.19559052890130604,0.174872449682042,0.5909994233598104
5,1090026,LOWER BUCKS CO JOINT MUN AUTH,Bucks,Surface water,63007,12,14.5,6.0,Local government,19617,Urban,7,0,7,0,1,1,0,0,1.4090005766401896,-0.46630699982852236,-0.9802909064015077,-1.4090005766401896
6,1090037,MORRISVILLE MUNIC AUTHORITY,Bucks,Surface water,13342,4,14.5,6.0,Local government,4231,Urban,42,11,53,0,1,1,0,0,1.4090005766401896,3.174129408185534,1.4821668690593182,9.590999423359811
7,1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Surface water purchased,33000,20,14.5,6.0,Public/Private,10226,Urban,4,0,4,0,1,0,0,0,1.4997789559268224,-0.4685002361567977,-0.9941087085148279,-1.4997789559268224
8,1090044,DURHAM QUARTERS APTS,Bucks,Ground water,25,3,14.5,6.0,Private,16,Urban,34,5,39,0,1,0,1,1,0.7984904177811558,2.3205346684173014,1.2101560569075045,4.201509582218844
9,1090046,PERKASIE REGIONAL AUTHORITY,Bucks,Ground water,15000,20,14.5,6.0,Local government,3821,Urban,0,0,0,0,1,1,0,1,0.5067049114241271,-0.41299981673218494,-0.7482674925697952,-0.5067049114241271
10,1090048,RED CLIFF MHP,Bucks,Ground water,30,3,14.5,6.0,Private,30,Urban,2,1,3,0,1,0,1,1,0.7984904177811558,0.11129570512848067,0.10400202015938334,0.20150958221884419
11,1090049,PEDIATRIC SPECIALY CARE,Bucks,Ground water,56,13,14.5,6.0,Private,5,Urban,12,0,12,0,1,0,1,1,0.7984904177811558,-0.44101403569372444,-0.8522208563408916,-0.7984904177811558
12,1090050,QUAKER VIEW MOBILE HOME PARK,Bucks,Ground water,60,4,14.5,6.0,Private,20,Urban,2,0,2,0,1,0,1,1,0.7984904177811558,-0.44101403569372444,-0.8522208563408916,-0.7984904177811558
13,1090052,RICHLAND MEADOWS MHP,Bucks,Ground water,750,9,14.5,6.0,Private,400,Urban,9,0,9,0,1,0,0,1,0.5393506401755961,-0.4172726802814824,-0.7625130659861489,-0.5393506401755961
14,1090053,CHERRY MOBILE HOME PARK,Bucks,Ground water,62,6,14.5,6.0,Private,42,Urban,15,0,15,0,1,0,1,1,0.7984904177811558,-0.44101403569372444,-0.8522208563408916,-0.7984904177811558
15,1090057,RICHLANDTOWN WATER DEPARTMENT,Bucks,Ground water,1450,7,14.5,6.0,Local government,469,Urban,41,3,44,0,1,1,0,1,0.5067049114241271,2.032209263073784,1.1060283836731495,2.4932950885758727
16,1090058,RIEGELSVILLE WATER AUTHORITY,Bucks,Ground water,980,15,14.5,6.0,Local government,402,Urban,22,0,22,0,1,1,0,1,0.5067049114241271,-0.41299981673218494,-0.7482674925697952,-0.5067049114241271
17,1090060,GREENTOP MOBILE HOME PARK,Bucks,Ground water,120,7,14.5,6.0,Private,51,Urban,4,1,5,0,1,0,1,1,0.7984904177811558,0.11129570512848067,0.10400202015938334,0.20150958221884419
18,1090063,UPPER SOUTHAMPTON MUN AUTH,Bucks,Surface water purchased,16000,15,14.5,6.0,Local government,5100,Urban,82,3,85,0,1,1,0,0,1.4090005766401896,0.5265392932662203,0.40938980842184025,1.5909994233598104
19,1090064,SPRINGTOWN WATER AUTHORITY,Bucks,Ground water,600,10,14.5,6.0,Local government,196,Urban,3,0,3,0,1,1,1,1,0.7501595182738444,-0.437593818826913,-0.8379617130174676,-0.7501595182738444
20,1090069,WARMINSTER MUNICIPAL AUTHORITY,Bucks,Surface water purchased,40000,65,14.5,6.0,Local government,9700,Urban,3,0,3,0,1,1,0,0,1.4090005766401896,-0.46630699982852236,-0.9802909064015077,-1.4090005766401896
21,1090070,WARRINGTON TWP WATER&SEW DEPT,Bucks,Surface water purchased,21588,29,14.5,6.0,Local government,6695,Urban,41,4,45,0,1,1,0,0,1.4090005766401896,0.8574880576311344,0.6001224444817892,2.5909994233598104
22,1090074,PA AMERICAN WATER CO YARDLEY,Bucks,Surface water,34411,15,14.5,6.0,Private,12167,Urban,2,0,2,0,1,0,0,0,1.4997789559268224,-0.4685002361567977,-0.9941087085148279,-1.4997789559268224
23,1090078,AQUA PA BENSALEM,Bucks,Surface water purchased,44543,11,14.5,6.0,Local government,14000,Urban,0,0,0,0,1,1,0,0,1.4090005766401896,-0.46630699982852236,-0.9802909064015077,-1.4090005766401896
24,1090079,BCWSA MAIN LOWER SOUTH,Bucks,Surface water purchased,52621,10,14.5,6.0,Local government,15800,Urban,7,3,10,0,1,1,0,0,1.4090005766401896,0.5265392932662203,0.40938980842184025,1.5909994233598104
25,1090081,DOYLESTOWN BORO WATER DEPT,Bucks,Ground water,8700,19,14.5,6.0,Local government,3069,Urban,10,1,11,0,1,1,0,1,0.5067049114241271,0.40206987653647136,0.3270450786051184,0.4932950885758729
26,1090082,QUAKERTOWN BORO,Bucks,Ground water,12800,30,14.5,6.0,Local government,3551,Urban,5,0,5,0,1,1,0,1,0.5067049114241271,-0.41299981673218494,-0.7482674925697952,-0.5067049114241271
27,1090084,DELAWARE VALLEY UNIV,Bucks,Ground water,1200,5,14.5,6.0,Public/Private,41,Urban,38,0,38,0,1,0,1,1,0.7984904177811558,-0.44101403569372444,-0.8522208563408916,-0.7984904177811558
28,1090089,NORTHAMPTON BUCKS CO MUN AUTH,Bucks,Surface water purchased,36750,54,14.5,6.0,Local government,10222,Urban,49,0,49,0,1,1,0,0,1.4090005766401896,-0.46630699982852236,-0.9802909064015077,-1.4090005766401896
29,1090091,TRUMBAUERSVILLE MUN WATERWORKS,Bucks,Ground water,1057,9,14.5,6.0,Local government,392,Urban,18,0,18,0,1,1,0,1,0.5067049114241271,-0.41299981673218494,-0.7482674925697952,-0.5067049114241271
30,1090093,NESHAMINY MANOR CENTER,Bucks,Ground water,2100,9,14.5,6.0,Public/Private,18,Urban,48,0,48,0,1,0,1,1,0.7984904177811558,-0.44101403569372444,-0.8522208563408916,-0.7984904177811558
31,1090097,OLDE COLONIAL GREENE,Bucks,Ground water,900,6,14.5,6.0,Public/Private,309,Urban,35,0,35,0,1,0,0,1,0.5393506401755961,-0.4172726802814824,-0.7625130659861489,-0.5393506401755961
32,1090098,DOYLESTOWN HOSP T/A PINE RUN,Bucks,Ground water,700,5,14.5,6.0,Public/Private,320,Urban,96,0,96,0,1,0,0,1,0.5393506401755961,-0.4172726802814824,-0.7625130659861489,-0.5393506401755961
33,1090099,DURHAM VILLAGE RES ASSOC,Bucks,Ground water,160,6,14.5,6.0,Local government,60,Urban,25,6,31,0,1,1,1,1,0.7501595182738444,3.0624123118731723,1.44703741047774,5.249840481726156
34,1090101,YORKSHIRE MEADOWS CONDO ASSOC,Bucks,Ground water,90,4,14.5,6.0,Public/Private,72,Urban,36,3,39,0,1,0,1,1,0.7984904177811558,1.215915186772891,0.7759641104274243,2.2015095822188444
35,1090102,HERMITAGE CONDOMINIUM ASSN,Bucks,Ground water,75,6,14.5,6.0,Public/Private,49,Urban,41,0,41,0,1,0,1,1,0.7984904177811558,-0.44101403569372444,-0.8522208563408916,-0.7984904177811558
36,1090103,INGHAM MEWS CONDOMINUM ASSOC,Bucks,Ground water,97,6,14.5,6.0,Public/Private,64,Urban,93,0,93,0,1,0,1,1,0.7984904177811558,-0.44101403569372444,-0.8522208563408916,-0.7984904177811558
37,1090104,BEDMINSTER MUN AUTH,Bucks,Ground water,3042,6,14.5,6.0,Local government,1100,Urban,2,0,2,0,1,1,0,1,0.5067049114241271,-0.41299981673218494,-0.7482674925697952,-0.5067049114241271
38,1090106,DUBLIN ACRES HOMEOWNERS ASSOC,Bucks,Ground water,175,4,14.5,6.0,Public/Private,54,Urban,5,0,5,0,1,0,1,1,0.7984904177811558,-0.44101403569372444,-0.8522208563408916,-0.7984904177811558
