,PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
0,1090001,AQUA PA BRISTOL,Bucks,Surface water,28728,17,6.413235861,31.44872954,Private,9859,Urban,0,0,0,0,1,0,0,0,12.663367565208878,-0.6947178933303827,-1.8107146760005648,-12.663367565208878
1,1090002,BUCKINGHAM VLY REHAB & NURSING,Bucks,Ground water,190,9,5.089795378,8.929258211,Private,1,Rural,12,4,16,1,0,0,1,1,32.354536882453324,-0.35531024144629736,-0.4420925898074644,-16.354536882453324
2,1090005,AQUA PA CHALFONT,Bucks,Ground water,5900,15,3.143306177,7.677638445,Private,2141,Urban,1,1,2,0,1,0,0,1,15.327292846377636,-0.6060774868720328,-1.041536032867205,-13.327292846377636
3,1090007,UMH ARBOR ESTATES,Bucks,Ground water,920,10,2.518248484,3.765411795,Private,231,Urban,17,1,18,0,1,0,0,1,15.45381671538603,0.11485818098060634,0.10917772532497076,2.5461832846139707
4,1090022,FALLS TWP  WATER & SEWER DEPT,Bucks,Surface water purchased,24400,12,4.248050793,16.24466603,Local government,7634,Urban,2,2,4,0,1,1,0,0,14.259447572177232,-0.5009081406169481,-0.7231746685732049,-10.259447572177232
5,1090026,LOWER BUCKS CO JOINT MUN AUTH,Bucks,Surface water,63007,12,3.399600368,9.476788787,Local government,19617,Urban,7,0,7,0,1,1,0,0,14.403550809593792,-0.35791604294676094,-0.44632896080656814,-7.403550809593792
6,1090037,MORRISVILLE MUNIC AUTHORITY,Bucks,Surface water,13342,4,3.4179174710000004,29.08795312,Local government,4231,Urban,42,11,53,0,1,1,0,0,14.614318616323953,1.829392117551697,1.1450110630308978,38.385681383676044
7,1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Surface water purchased,33000,20,3.298404505,13.76309943,Public/Private,10226,Urban,4,0,4,0,1,0,0,0,13.211022488334866,-0.4847560575032988,-0.6860029709887511,-9.211022488334866
8,1090044,DURHAM QUARTERS APTS,Bucks,Ground water,25,3,3.216304917,1.486014485,Private,16,Rural,34,5,39,1,0,0,1,1,33.26943296005391,0.12110109565575443,0.11481547978304774,5.730567039946088
9,1090046,PERKASIE REGIONAL AUTHORITY,Bucks,Ground water,15000,20,4.753778447,3.8698521489999997,Local government,3821,Urban,0,0,0,0,1,1,0,1,16.27149770394163,-0.697672259954264,-1.8766333581606895,-16.27149770394163
10,1090048,RED CLIFF MHP,Bucks,Ground water,30,3,4.146246274,5.541509134,Private,30,Urban,2,1,3,0,1,0,1,1,22.824572032912904,-0.6085911869564046,-1.0514441111517856,-19.824572032912904
11,1090049,PEDIATRIC SPECIALY CARE,Bucks,Ground water,56,13,2.61153409,15.06683803,Private,5,Rural,12,0,12,1,0,0,1,1,33.97915821706257,-0.4548432050866178,-0.6219386314072044,-21.97915821706257
12,1090050,QUAKER VIEW MOBILE HOME PARK,Bucks,Ground water,60,4,0.74250828,7.097952416,Private,20,Rural,2,0,2,1,0,0,1,1,34.923295253964845,-0.6630355201097183,-1.3495973066345217,-32.923295253964845
13,1090052,RICHLAND MEADOWS MHP,Bucks,Ground water,750,9,2.011501308,11.89004098,Private,400,Urban,9,0,9,0,1,0,0,1,15.690845790047277,-0.2973348905144921,-0.35355192885767417,-6.690845790047277
14,1090053,CHERRY MOBILE HOME PARK,Bucks,Ground water,62,6,2.424857984,13.44581977,Private,42,Rural,15,0,15,1,0,0,1,1,34.051010746722675,-0.39342137659947657,-0.5060567986669846,-19.051010746722675
