,PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
0,1090001,AQUA PA BRISTOL,Bucks,Surface water,28728,17,6.413235861,31.44872954,Private,9859,Urban,0,0,0,0,1,0,0,0,1.3177727191818591,-0.46552149178513796,-0.9676629136754391,-1.3177727191818591
1,1090002,BUCKINGHAM VLY REHAB & NURSING,Bucks,Ground water,190,9,5.089795378,8.929258211,Private,1,Rural,12,4,16,1,0,0,1,1,0.7791118208641395,1.823609216590708,1.0315599824892663,3.2208881791358603
2,1090005,AQUA PA CHALFONT,Bucks,Ground water,5900,15,3.143306177,7.677638445,Private,2141,Urban,1,1,2,0,1,0,0,1,0.4171384264017125,0.558785309119434,0.4283346500832475,0.5828615735982875
3,1090007,UMH ARBOR ESTATES,Bucks,Ground water,920,10,2.518248484,3.765411795,Private,231,Urban,17,1,18,0,1,0,0,1,0.4050067253363741,0.5841576051774932,0.4437580978108017,0.594993274663626
4,1090022,FALLS TWP  WATER & SEWER DEPT,Bucks,Surface water purchased,24400,12,4.248050793,16.24466603,Local government,7634,Urban,2,2,4,0,1,1,0,0,1.040615647429733,0.42008130932472243,0.34011812460661367,0.959384352570267
5,1090026,LOWER BUCKS CO JOINT MUN AUTH,Bucks,Surface water,63007,12,3.399600368,9.476788787,Local government,19617,Urban,7,0,7,0,1,1,0,0,0.9878654055664705,-0.45324174741687767,-0.9025704939009471,-0.9878654055664705
6,1090037,MORRISVILLE MUNIC AUTHORITY,Bucks,Surface water,13342,4,3.4179174710000004,29.08795312,Local government,4231,Urban,42,11,53,0,1,1,0,0,1.1602418780724475,3.90463485209743,1.688670413014302,9.839758121927552
7,1090043,NEWTOWN ARTESIAN WATER CO,Bucks,Surface water purchased,33000,20,3.298404505,13.76309943,Public/Private,10226,Urban,4,0,4,0,1,0,0,0,1.1545565052314277,-0.46020281088694237,-0.9379250681254335,-1.1545565052314277
8,1090044,DURHAM QUARTERS APTS,Bucks,Ground water,25,3,3.216304917,1.486014485,Private,16,Rural,34,5,39,1,0,0,1,1,0.7386562618038826,2.527609199466546,1.2812338705438147,4.261343738196118
9,1090046,PERKASIE REGIONAL AUTHORITY,Bucks,Ground water,15000,20,4.753778447,3.8698521489999997,Local government,3821,Urban,0,0,0,0,1,1,0,1,0.3560869795311283,-0.387378647697007,-0.6695103680640556,-0.3560869795311283
10,1090048,RED CLIFF MHP,Bucks,Ground water,30,3,4.146246274,5.541509134,Private,30,Urban,2,1,3,0,1,0,1,1,0.5571989316401247,0.334320471763365,0.28001128181079876,0.4428010683598753
11,1090049,PEDIATRIC SPECIALY CARE,Bucks,Ground water,56,13,2.61153409,15.06683803,Private,5,Rural,12,0,12,1,0,0,1,1,0.8277969426884112,-0.4443950382412624,-0.8621971043409326,-0.8277969426884112
12,1090050,QUAKER VIEW MOBILE HOME PARK,Bucks,Ground water,60,4,0.74250828,7.097952416,Private,20,Rural,2,0,2,1,0,0,1,1,0.7814213634692992,-0.44128206216424204,-0.8489820056831099,-0.7814213634692992
13,1090052,RICHLAND MEADOWS MHP,Bucks,Ground water,750,9,2.011501308,11.89004098,Private,400,Urban,9,0,9,0,1,0,0,1,0.4338350018984921,-0.4028910832482293,-0.7141098070826618,-0.4338350018984921
